Year,Sport,Event,NOC,Bronze,Gold,Silver
1906,Tennis,Tennis Men's Singles,FRA,Data Missing,France,France
1906,Tennis,Tennis Mixed Doubles,FRA,Data Missing,France,Data Missing
1906,Tennis,Tennis Mixed Doubles,GRE,Greece,Data Missing,Greece
1906,Tennis,Tennis Women's Singles,GRE,Greece,Greece,Greece
1906,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,GER,Data Missing,Germany,Data Missing
1906,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,GRE,Data Missing,Data Missing,Greece
1906,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,SWE,Sweden,Data Missing,Data Missing
1906,Weightlifting,"Weightlifting Men's Unlimited, One Hand",AUT,Data Missing,Austria,Data Missing
1906,Weightlifting,"Weightlifting Men's Unlimited, One Hand",GER,Germany,Data Missing,Data Missing
1906,Weightlifting,"Weightlifting Men's Unlimited, One Hand",ITA,Data Missing,Data Missing,Italy
1906,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",AUT,Data Missing,Data Missing,Austria
1906,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",FRA,France,Data Missing,Data Missing
1906,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",GER,Germany,Data Missing,Data Missing
1906,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",GRE,Data Missing,Greece,Data Missing
1906,Wrestling,"Wrestling Men's All-Around, Greco-Roman",AUT,Austria,Data Missing,Data Missing
1906,Wrestling,"Wrestling Men's All-Around, Greco-Roman",DEN,Data Missing,Denmark,Data Missing
1906,Wrestling,"Wrestling Men's All-Around, Greco-Roman",FIN,Data Missing,Data Missing,Finland
1906,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",AUT,Data Missing,Data Missing,Austria
1906,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",BEL,Belgium,Data Missing,Data Missing
1906,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",DEN,Data Missing,Denmark,Data Missing
1906,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",AUT,Data Missing,Austria,Data Missing
1906,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",DEN,Data Missing,Data Missing,Denmark
1906,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",HUN,Hungary,Data Missing,Data Missing
1906,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",AUT,Data Missing,Data Missing,Austria
1906,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",DEN,Denmark,Data Missing,Data Missing
1906,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",FIN,Data Missing,Finland,Data Missing
1908,Archery,Archery Men's Continental Style,FRA,France,France,France
1908,Archery,Archery Men's Double York Round,GBR,Data Missing,UK,UK
1908,Archery,Archery Men's Double York Round,USA,USA,Data Missing,Data Missing
1908,Archery,Archery Women's Double National Round,GBR,UK,UK,UK
1908,Athletics,"Athletics Men's 1,500 metres",GBR,UK,Data Missing,UK
1908,Athletics,"Athletics Men's 1,500 metres",USA,Data Missing,USA,Data Missing
1908,Athletics,"Athletics Men's 1,600 metres Medley Relay",GER,Data Missing,Data Missing,Germany
1908,Athletics,"Athletics Men's 1,600 metres Medley Relay",HUN,Hungary,Data Missing,Data Missing
1908,Athletics,"Athletics Men's 1,600 metres Medley Relay",USA,Data Missing,USA,Data Missing
1908,Athletics,Athletics Men's 10 mile Walk,GBR,UK,UK,UK
1908,Athletics,Athletics Men's 100 metres,CAN,Canada,Data Missing,Data Missing
1908,Athletics,Athletics Men's 100 metres,RSA,Data Missing,South Africa,Data Missing
1908,Athletics,Athletics Men's 100 metres,USA,Data Missing,Data Missing,USA
1908,Athletics,Athletics Men's 110 metres Hurdles,USA,USA,USA,USA
1908,Athletics,Athletics Men's 200 metres,CAN,Data Missing,Canada,Data Missing
1908,Athletics,Athletics Men's 200 metres,USA,USA,Data Missing,USA
1908,Athletics,"Athletics Men's 3 mile, Team",FRA,France,Data Missing,Data Missing
1908,Athletics,"Athletics Men's 3 mile, Team",GBR,Data Missing,UK,Data Missing
1908,Athletics,"Athletics Men's 3 mile, Team",USA,Data Missing,Data Missing,USA
1908,Athletics,"Athletics Men's 3,200 metres Steeplechase",GBR,Data Missing,UK,UK
1908,Athletics,"Athletics Men's 3,200 metres Steeplechase",USA,USA,Data Missing,Data Missing
1908,Athletics,"Athletics Men's 3,500 metres Walk",ANZ,Australia,Data Missing,Data Missing
1908,Athletics,"Athletics Men's 3,500 metres Walk",GBR,Data Missing,UK,UK
1908,Athletics,Athletics Men's 400 metres,GBR,Data Missing,UK,Data Missing
1908,Athletics,Athletics Men's 400 metres Hurdles,GBR,UK,Data Missing,Data Missing
1908,Athletics,Athletics Men's 400 metres Hurdles,USA,Data Missing,USA,USA
1908,Athletics,Athletics Men's 5 mile,GBR,Data Missing,UK,UK
1908,Athletics,Athletics Men's 5 mile,SWE,Sweden,Data Missing,Data Missing
1908,Athletics,Athletics Men's 800 metres,GER,Germany,Data Missing,Data Missing
1908,Athletics,Athletics Men's 800 metres,ITA,Data Missing,Data Missing,Italy
1908,Athletics,Athletics Men's 800 metres,USA,Data Missing,USA,Data Missing
1908,Athletics,Athletics Men's Discus Throw,USA,USA,USA,USA
1908,Athletics,"Athletics Men's Discus Throw, Greek Style",FIN,Finland,Data Missing,Data Missing
1908,Athletics,"Athletics Men's Discus Throw, Greek Style",USA,Data Missing,USA,USA
1908,Athletics,Athletics Men's Hammer Throw,CAN,Canada,Data Missing,Data Missing
1908,Athletics,Athletics Men's Hammer Throw,USA,Data Missing,USA,USA
1908,Athletics,Athletics Men's High Jump,FRA,Data Missing,Data Missing,France
1908,Athletics,Athletics Men's High Jump,GBR,Data Missing,Data Missing,UK
1908,Athletics,Athletics Men's High Jump,HUN,Data Missing,Data Missing,Hungary
1908,Athletics,Athletics Men's High Jump,USA,Data Missing,USA,Data Missing
1908,Athletics,Athletics Men's Javelin Throw,NOR,Data Missing,Data Missing,Norway
1908,Athletics,Athletics Men's Javelin Throw,SWE,Sweden,Sweden,Data Missing
1908,Athletics,"Athletics Men's Javelin Throw, Freestyle",GRE,Data Missing,Data Missing,Greece
1908,Athletics,"Athletics Men's Javelin Throw, Freestyle",NOR,Norway,Data Missing,Data Missing
1908,Athletics,"Athletics Men's Javelin Throw, Freestyle",SWE,Data Missing,Sweden,Data Missing
1908,Athletics,Athletics Men's Long Jump,CAN,Canada,Data Missing,Data Missing
1908,Athletics,Athletics Men's Long Jump,USA,Data Missing,USA,USA
1908,Athletics,Athletics Men's Marathon,RSA,Data Missing,Data Missing,South Africa
1908,Athletics,Athletics Men's Marathon,USA,USA,USA,Data Missing
1908,Athletics,Athletics Men's Pole Vault,CAN,Canada,Data Missing,Data Missing
1908,Athletics,Athletics Men's Pole Vault,SWE,Sweden,Data Missing,Data Missing
1908,Athletics,Athletics Men's Pole Vault,USA,USA,USA,Data Missing
1908,Athletics,Athletics Men's Shot Put,GBR,Data Missing,Data Missing,UK
1908,Athletics,Athletics Men's Shot Put,USA,USA,USA,Data Missing
1908,Athletics,Athletics Men's Standing High Jump,GRE,Data Missing,Data Missing,Greece
1908,Athletics,Athletics Men's Standing High Jump,USA,Data Missing,USA,USA
1908,Athletics,Athletics Men's Standing Long Jump,GRE,Data Missing,Data Missing,Greece
1908,Athletics,Athletics Men's Standing Long Jump,USA,USA,USA,Data Missing
1908,Athletics,Athletics Men's Triple Jump,CAN,Data Missing,Data Missing,Canada
1908,Athletics,Athletics Men's Triple Jump,GBR,Data Missing,UK,Data Missing
1908,Athletics,Athletics Men's Triple Jump,NOR,Norway,Data Missing,Data Missing
1908,Boxing,Boxing Men's Bantamweight,GBR,UK,UK,UK
1908,Boxing,Boxing Men's Featherweight,GBR,UK,UK,UK
1908,Boxing,Boxing Men's Heavyweight,GBR,UK,UK,UK
1908,Boxing,Boxing Men's Lightweight,GBR,UK,UK,UK
1908,Boxing,Boxing Men's Middleweight,ANZ,Data Missing,Data Missing,Australia
1908,Boxing,Boxing Men's Middleweight,GBR,UK,UK,Data Missing
1908,Cycling,Cycling Men's 100 kilometres,FRA,France,Data Missing,Data Missing
1908,Cycling,Cycling Men's 100 kilometres,GBR,Data Missing,UK,UK
1908,Cycling,Cycling Men's 20 kilometres,BEL,Belgium,Data Missing,Data Missing
1908,Cycling,Cycling Men's 20 kilometres,GBR,Data Missing,UK,UK
1908,Cycling,"Cycling Men's 5,000 metres",FRA,France,Data Missing,France
1908,Cycling,"Cycling Men's 5,000 metres",GBR,Data Missing,UK,Data Missing
1908,Cycling,Cycling Men's Sprint,FRA,Data Missing,Data Missing,France
1908,Cycling,Cycling Men's Sprint,GBR,Data Missing,UK,Data Missing
1908,Cycling,Cycling Men's Sprint,GER,Germany,Data Missing,Data Missing
1908,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",FRA,Data Missing,France,Data Missing
1908,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",GBR,UK,Data Missing,UK
1908,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",CAN,Canada,Data Missing,Data Missing
1908,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",GBR,Data Missing,UK,Data Missing
1908,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",GER,Data Missing,Data Missing,Germany
1908,Diving,Diving Men's Platform,SWE,Sweden,Sweden,Sweden
1908,Diving,Diving Men's Springboard,GER,Germany,Germany,Germany
1908,Diving,Diving Men's Springboard,USA,USA,Data Missing,Data Missing
1908,Fencing,"Fencing Men's Sabre, Individual",BOH,Czech Republic,Data Missing,Data Missing
1908,Fencing,"Fencing Men's Sabre, Individual",HUN,Data Missing,Hungary,Hungary
1908,Fencing,"Fencing Men's Sabre, Team",BOH,Czech Republic,Data Missing,Data Missing
1908,Fencing,"Fencing Men's Sabre, Team",HUN,Data Missing,Hungary,Data Missing
1908,Fencing,"Fencing Men's Sabre, Team",ITA,Data Missing,Data Missing,Italy
1908,Fencing,"Fencing Men's epee, Individual",FRA,France,France,France
1908,Fencing,"Fencing Men's epee, Team",BEL,Belgium,Data Missing,Data Missing
1908,Fencing,"Fencing Men's epee, Team",FRA,Data Missing,France,Data Missing
1908,Fencing,"Fencing Men's epee, Team",GBR,Data Missing,Data Missing,UK
1908,Figure Skating,Figure Skating Men's Singles,SWE,Sweden,Sweden,Sweden
1908,Figure Skating,Figure Skating Men's Special Figures,GBR,UK,Data Missing,UK
1908,Figure Skating,Figure Skating Men's Special Figures,RUS,Data Missing,Russia,Data Missing
1908,Figure Skating,Figure Skating Mixed Pairs,GBR,UK,Data Missing,UK
1908,Figure Skating,Figure Skating Mixed Pairs,GER,Data Missing,Germany,Data Missing
1908,Figure Skating,Figure Skating Women's Singles,GBR,UK,UK,Data Missing
1908,Figure Skating,Figure Skating Women's Singles,GER,Data Missing,Data Missing,Germany
1908,Football,Football Men's Football,DEN,Data Missing,Data Missing,Denmark
1908,Football,Football Men's Football,GBR,Data Missing,UK,Data Missing
1908,Football,Football Men's Football,NED,Netherlands,Data Missing,Data Missing
1908,Gymnastics,Gymnastics Men's Individual All-Around,FRA,France,Data Missing,Data Missing
1908,Gymnastics,Gymnastics Men's Individual All-Around,GBR,Data Missing,Data Missing,UK
1908,Gymnastics,Gymnastics Men's Individual All-Around,ITA,Data Missing,Italy,Data Missing
1908,Gymnastics,Gymnastics Men's Team All-Around,FIN,Finland,Data Missing,Data Missing
1908,Gymnastics,Gymnastics Men's Team All-Around,NOR,Data Missing,Data Missing,Norway
1908,Gymnastics,Gymnastics Men's Team All-Around,SWE,Data Missing,Sweden,Data Missing
1908,Hockey,Hockey Men's Hockey,GBR,UK,UK,UK
1908,Jeu De Paume,Jeu De Paume Men's Singles,GBR,UK,Data Missing,UK
1908,Jeu De Paume,Jeu De Paume Men's Singles,USA,Data Missing,USA,Data Missing
1908,Lacrosse,Lacrosse Men's Lacrosse,CAN,Data Missing,Canada,Data Missing
1908,Lacrosse,Lacrosse Men's Lacrosse,GBR,Data Missing,Data Missing,UK
1908,Motorboating,Motorboating Mixed A-Class (Open),FRA,Data Missing,France,Data Missing
1908,Motorboating,Motorboating Mixed B-Class (Under 60 Feet),GBR,Data Missing,UK,Data Missing
1908,Motorboating,Motorboating Mixed C-Class,GBR,Data Missing,UK,Data Missing
1908,Polo,Polo Men's Polo,GBR,Data Missing,UK,UK
1908,Racquets,Racquets Men's Doubles,GBR,UK,UK,UK
1908,Racquets,Racquets Men's Singles,GBR,UK,UK,UK
1908,Rowing,Rowing Men's Coxed Eights,BEL,Data Missing,Data Missing,Belgium
1908,Rowing,Rowing Men's Coxed Eights,CAN,Canada,Data Missing,Data Missing
1908,Rowing,Rowing Men's Coxed Eights,GBR,UK,UK,Data Missing
1908,Rowing,Rowing Men's Coxless Fours,CAN,Canada,Data Missing,Data Missing
1908,Rowing,Rowing Men's Coxless Fours,GBR,Data Missing,UK,UK
1908,Rowing,Rowing Men's Coxless Fours,NED,Netherlands,Data Missing,Data Missing
1908,Rowing,Rowing Men's Coxless Pairs,CAN,Canada,Data Missing,Data Missing
1908,Rowing,Rowing Men's Coxless Pairs,GBR,Data Missing,UK,UK
1908,Rowing,Rowing Men's Coxless Pairs,GER,Germany,Data Missing,Data Missing
1908,Rowing,Rowing Men's Single Sculls,GBR,Data Missing,UK,UK
1908,Rowing,Rowing Men's Single Sculls,GER,Germany,Data Missing,Data Missing
1908,Rowing,Rowing Men's Single Sculls,HUN,Hungary,Data Missing,Data Missing
1908,Rugby,Rugby Men's Rugby,ANZ,Data Missing,Australia,Data Missing
1908,Rugby,Rugby Men's Rugby,GBR,Data Missing,Data Missing,UK
1908,Sailing,Sailing Mixed 12 metres,GBR,Data Missing,UK,UK
1908,Sailing,Sailing Mixed 6 metres,BEL,Data Missing,Data Missing,Belgium
1908,Sailing,Sailing Mixed 6 metres,FRA,France,Data Missing,Data Missing
1908,Sailing,Sailing Mixed 6 metres,GBR,Data Missing,UK,Data Missing
1908,Sailing,Sailing Mixed 7 metres,GBR,Data Missing,UK,Data Missing
1908,Sailing,Sailing Mixed 8 metres,GBR,UK,UK,Data Missing
1908,Sailing,Sailing Mixed 8 metres,SWE,Data Missing,Data Missing,Sweden
1908,Shooting,"Shooting Men's Free Pistol, 50 yards",BEL,Data Missing,Belgium,Belgium
1908,Shooting,"Shooting Men's Free Pistol, 50 yards",USA,USA,Data Missing,Data Missing
1908,Shooting,"Shooting Men's Free Pistol, 50 yards, Team",BEL,Data Missing,Data Missing,Belgium
1908,Shooting,"Shooting Men's Free Pistol, 50 yards, Team",GBR,UK,Data Missing,Data Missing
1908,Shooting,"Shooting Men's Free Pistol, 50 yards, Team",USA,Data Missing,USA,Data Missing
1908,Shooting,"Shooting Men's Free Rifle, 1,000 Yards",GBR,UK,UK,Data Missing
1908,Shooting,"Shooting Men's Free Rifle, 1,000 Yards",USA,Data Missing,Data Missing,USA
1908,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",NOR,Norway,Norway,Data Missing
1908,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",USA,Data Missing,Data Missing,USA
1908,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",FRA,France,Data Missing,Data Missing
1908,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",NOR,Data Missing,Norway,Data Missing
1908,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",SWE,Data Missing,Data Missing,Sweden
1908,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",CAN,Canada,Data Missing,Data Missing
1908,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",GBR,Data Missing,Data Missing,UK
1908,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",USA,Data Missing,USA,Data Missing
1908,Shooting,"Shooting Men's Running Target, Double Shot",GBR,Data Missing,Data Missing,UK
1908,Shooting,"Shooting Men's Running Target, Double Shot",SWE,Sweden,Data Missing,Data Missing
1908,Shooting,"Shooting Men's Running Target, Double Shot",USA,Data Missing,USA,Data Missing
1908,Shooting,"Shooting Men's Running Target, Single Shot",GBR,UK,Data Missing,UK
1908,Shooting,"Shooting Men's Running Target, Single Shot",SWE,Data Missing,Sweden,Data Missing
1908,Shooting,"Shooting Men's Running Target, Single Shot, Team",GBR,Data Missing,Data Missing,UK
1908,Shooting,"Shooting Men's Running Target, Single Shot, Team",SWE,Data Missing,Sweden,Data Missing
1908,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",FRA,France,Data Missing,Data Missing
1908,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",GBR,Data Missing,UK,Data Missing
1908,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",SWE,Data Missing,Data Missing,Sweden
1908,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",GBR,UK,UK,UK
1908,Shooting,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",GBR,UK,UK,UK
1908,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",GBR,UK,UK,UK
1908,Shooting,Shooting Men's Trap,CAN,Data Missing,Canada,Canada
1908,Shooting,Shooting Men's Trap,GBR,UK,Data Missing,Data Missing
1908,Shooting,Shooting Men's Trap,GRE,Greece,Data Missing,Data Missing
1908,Shooting,"Shooting Men's Trap, Team",CAN,Data Missing,Data Missing,Canada
1908,Shooting,"Shooting Men's Trap, Team",GBR,UK,UK,Data Missing
1908,Swimming,"Swimming Men's 1,500 metres Freestyle",ANZ,Australia,Data Missing,Data Missing
1908,Swimming,"Swimming Men's 1,500 metres Freestyle",GBR,Data Missing,UK,UK
1908,Swimming,Swimming Men's 100 metres Backstroke,DEN,Data Missing,Data Missing,Denmark
1908,Swimming,Swimming Men's 100 metres Backstroke,GBR,UK,Data Missing,Data Missing
1908,Swimming,Swimming Men's 100 metres Backstroke,GER,Data Missing,Germany,Data Missing
1908,Swimming,Swimming Men's 100 metres Freestyle,HUN,Data Missing,Data Missing,Hungary
1908,Swimming,Swimming Men's 100 metres Freestyle,SWE,Sweden,Data Missing,Data Missing
1908,Swimming,Swimming Men's 100 metres Freestyle,USA,Data Missing,USA,Data Missing
1908,Swimming,Swimming Men's 200 metres Breaststroke,GBR,Data Missing,UK,UK
1908,Swimming,Swimming Men's 200 metres Breaststroke,SWE,Sweden,Data Missing,Data Missing
1908,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,GBR,Data Missing,UK,Data Missing
1908,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,HUN,Data Missing,Data Missing,Hungary
1908,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,USA,USA,Data Missing,Data Missing
1908,Swimming,Swimming Men's 400 metres Freestyle,ANZ,Data Missing,Data Missing,Australia
1908,Swimming,Swimming Men's 400 metres Freestyle,AUT,Austria,Data Missing,Data Missing
1908,Swimming,Swimming Men's 400 metres Freestyle,GBR,Data Missing,UK,Data Missing
1908,Tennis,Tennis Men's Doubles,GBR,UK,UK,UK
1908,Tennis,"Tennis Men's Doubles, Covered Courts",GBR,Data Missing,UK,UK
1908,Tennis,"Tennis Men's Doubles, Covered Courts",SWE,Sweden,Data Missing,Data Missing
1908,Tennis,Tennis Men's Singles,GBR,UK,UK,Data Missing
1908,Tennis,Tennis Men's Singles,GER,Data Missing,Data Missing,Germany
1908,Tennis,"Tennis Men's Singles, Covered Courts",GBR,UK,UK,UK
1908,Tennis,Tennis Women's Singles,GBR,UK,UK,UK
1908,Tennis,"Tennis Women's Singles, Covered Courts",GBR,Data Missing,UK,UK
1908,Tennis,"Tennis Women's Singles, Covered Courts",SWE,Sweden,Data Missing,Data Missing
1908,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,GBR,UK,UK,UK
1908,Water Polo,Water Polo Men's Water Polo,BEL,Data Missing,Data Missing,Belgium
1908,Water Polo,Water Polo Men's Water Polo,GBR,Data Missing,UK,Data Missing
1908,Water Polo,Water Polo Men's Water Polo,SWE,Sweden,Data Missing,Data Missing
1908,Wrestling,"Wrestling Men's Bantamweight, Freestyle",CAN,Canada,Data Missing,Data Missing
1908,Wrestling,"Wrestling Men's Bantamweight, Freestyle",GBR,Data Missing,Data Missing,UK
1908,Wrestling,"Wrestling Men's Bantamweight, Freestyle",USA,Data Missing,USA,Data Missing
1908,Wrestling,"Wrestling Men's Featherweight, Freestyle",GBR,UK,Data Missing,UK
1908,Wrestling,"Wrestling Men's Featherweight, Freestyle",USA,Data Missing,USA,Data Missing
1908,Wrestling,"Wrestling Men's Heavyweight, Freestyle",GBR,UK,UK,Data Missing
1908,Wrestling,"Wrestling Men's Heavyweight, Freestyle",NOR,Data Missing,Data Missing,Norway
1908,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",DEN,Denmark,Data Missing,Data Missing
1908,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",HUN,Data Missing,Hungary,Data Missing
1908,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",RUS,Data Missing,Data Missing,Russia
1908,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",DEN,Denmark,Data Missing,Data Missing
1908,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",FIN,Data Missing,Finland,Finland
1908,Wrestling,"Wrestling Men's Lightweight, Freestyle",GBR,UK,UK,UK
1908,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",FIN,Finland,Data Missing,Data Missing
1908,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",ITA,Data Missing,Italy,Data Missing
1908,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",RUS,Data Missing,Data Missing,Russia
1908,Wrestling,"Wrestling Men's Middleweight, Freestyle",GBR,UK,UK,UK
1908,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",DEN,Denmark,Data Missing,Data Missing
1908,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",SWE,Data Missing,Sweden,Sweden
1912,Art Competitions,Art Competitions Mixed Architecture,SUI,Data Missing,Switzerland,Data Missing
1912,Art Competitions,Art Competitions Mixed Literature,GER,Data Missing,Germany,Data Missing
1912,Art Competitions,Art Competitions Mixed Music,ITA,Data Missing,Italy,Data Missing
1912,Art Competitions,Art Competitions Mixed Painting,ITA,Data Missing,Italy,Data Missing
1912,Art Competitions,Art Competitions Mixed Sculpturing,FRA,Data Missing,Data Missing,France
1912,Art Competitions,Art Competitions Mixed Sculpturing,USA,Data Missing,USA,Data Missing
1912,Athletics,"Athletics Men's 1,500 metres",GBR,Data Missing,UK,Data Missing
1912,Athletics,"Athletics Men's 1,500 metres",USA,USA,Data Missing,USA
1912,Athletics,Athletics Men's 10 kilometres Walk,CAN,Data Missing,Canada,Data Missing
1912,Athletics,Athletics Men's 10 kilometres Walk,GBR,Data Missing,Data Missing,UK
1912,Athletics,Athletics Men's 10 kilometres Walk,ITA,Italy,Data Missing,Data Missing
1912,Athletics,"Athletics Men's 10,000 metres",FIN,Finland,Finland,Data Missing
1912,Athletics,"Athletics Men's 10,000 metres",USA,Data Missing,Data Missing,USA
1912,Athletics,Athletics Men's 100 metres,USA,USA,USA,USA
1912,Athletics,Athletics Men's 110 metres Hurdles,USA,USA,USA,USA
1912,Athletics,Athletics Men's 200 metres,GBR,UK,Data Missing,Data Missing
1912,Athletics,Athletics Men's 200 metres,USA,Data Missing,USA,USA
1912,Athletics,"Athletics Men's 3,000 metres, Team",GBR,UK,Data Missing,Data Missing
1912,Athletics,"Athletics Men's 3,000 metres, Team",SWE,Data Missing,Data Missing,Sweden
1912,Athletics,"Athletics Men's 3,000 metres, Team",USA,Data Missing,USA,Data Missing
1912,Athletics,Athletics Men's 4 x 100 metres Relay,GBR,Data Missing,UK,Data Missing
1912,Athletics,Athletics Men's 4 x 100 metres Relay,SWE,Data Missing,Data Missing,Sweden
1912,Athletics,Athletics Men's 4 x 400 metres Relay,FRA,Data Missing,Data Missing,France
1912,Athletics,Athletics Men's 4 x 400 metres Relay,GBR,UK,Data Missing,Data Missing
1912,Athletics,Athletics Men's 4 x 400 metres Relay,USA,Data Missing,USA,Data Missing
1912,Athletics,Athletics Men's 400 metres,GER,Data Missing,Data Missing,Germany
1912,Athletics,Athletics Men's 400 metres,USA,USA,USA,Data Missing
1912,Athletics,"Athletics Men's 5,000 metres",FIN,Data Missing,Finland,Data Missing
1912,Athletics,"Athletics Men's 5,000 metres",FRA,Data Missing,Data Missing,France
1912,Athletics,"Athletics Men's 5,000 metres",GBR,UK,Data Missing,Data Missing
1912,Athletics,Athletics Men's 800 metres,USA,USA,USA,USA
1912,Athletics,"Athletics Men's Cross-Country, Individual",FIN,Data Missing,Finland,Data Missing
1912,Athletics,"Athletics Men's Cross-Country, Individual",SWE,Sweden,Data Missing,Sweden
1912,Athletics,"Athletics Men's Cross-Country, Team",FIN,Data Missing,Data Missing,Finland
1912,Athletics,"Athletics Men's Cross-Country, Team",GBR,UK,Data Missing,Data Missing
1912,Athletics,"Athletics Men's Cross-Country, Team",SWE,Data Missing,Sweden,Data Missing
1912,Athletics,Athletics Men's Decathlon,SWE,Sweden,Sweden,Sweden
1912,Athletics,Athletics Men's Decathlon,USA,Data Missing,USA,Data Missing
1912,Athletics,Athletics Men's Discus Throw,FIN,Data Missing,Finland,Data Missing
1912,Athletics,Athletics Men's Discus Throw,USA,USA,Data Missing,USA
1912,Athletics,"Athletics Men's Discus Throw, Both Hands",FIN,Data Missing,Finland,Finland
1912,Athletics,"Athletics Men's Discus Throw, Both Hands",SWE,Sweden,Data Missing,Data Missing
1912,Athletics,Athletics Men's Hammer Throw,CAN,Data Missing,Data Missing,Canada
1912,Athletics,Athletics Men's Hammer Throw,USA,USA,USA,Data Missing
1912,Athletics,Athletics Men's High Jump,GER,Data Missing,Data Missing,Germany
1912,Athletics,Athletics Men's High Jump,USA,USA,USA,Data Missing
1912,Athletics,Athletics Men's Javelin Throw,FIN,Data Missing,Data Missing,Finland
1912,Athletics,Athletics Men's Javelin Throw,HUN,Hungary,Data Missing,Data Missing
1912,Athletics,Athletics Men's Javelin Throw,SWE,Data Missing,Sweden,Data Missing
1912,Athletics,"Athletics Men's Javelin Throw, Both Hands",FIN,Finland,Finland,Finland
1912,Athletics,Athletics Men's Long Jump,CAN,Data Missing,Data Missing,Canada
1912,Athletics,Athletics Men's Long Jump,SWE,Sweden,Data Missing,Data Missing
1912,Athletics,Athletics Men's Long Jump,USA,Data Missing,USA,Data Missing
1912,Athletics,Athletics Men's Marathon,RSA,Data Missing,South Africa,South Africa
1912,Athletics,Athletics Men's Marathon,USA,USA,Data Missing,Data Missing
1912,Athletics,Athletics Men's Pentathlon,CAN,Canada,Data Missing,Data Missing
1912,Athletics,Athletics Men's Pentathlon,NOR,Data Missing,Norway,Data Missing
1912,Athletics,Athletics Men's Pentathlon,USA,Data Missing,USA,USA
1912,Athletics,Athletics Men's Pole Vault,CAN,Canada,Data Missing,Data Missing
1912,Athletics,Athletics Men's Pole Vault,SWE,Sweden,Data Missing,Data Missing
1912,Athletics,Athletics Men's Pole Vault,USA,USA,USA,USA
1912,Athletics,Athletics Men's Shot Put,USA,USA,USA,USA
1912,Athletics,"Athletics Men's Shot Put, Both Hands",FIN,Finland,Data Missing,Data Missing
1912,Athletics,"Athletics Men's Shot Put, Both Hands",USA,Data Missing,USA,USA
1912,Athletics,Athletics Men's Standing High Jump,GRE,Greece,Data Missing,Data Missing
1912,Athletics,Athletics Men's Standing High Jump,USA,Data Missing,USA,USA
1912,Athletics,Athletics Men's Standing Long Jump,GRE,Data Missing,Greece,Data Missing
1912,Athletics,Athletics Men's Standing Long Jump,USA,USA,Data Missing,USA
1912,Athletics,Athletics Men's Triple Jump,SWE,Sweden,Sweden,Sweden
