Year,Sport,Event,Medal,Country
1920,Archery,"Archery Men's Pole Archery, Small Birds, Team",Gold,Belgium
1920,Archery,"Archery Men's Pole Archery, Large Birds, Team",Gold,Belgium
1906,Fencing,"Fencing Men's epee, Team",Bronze,Belgium
1900,Water Polo,Water Polo Men's Water Polo,Silver,Belgium
1920,Art Competitions,Art Competitions Mixed Sculpturing,Gold,Belgium
1920,Equestrianism,"Equestrianism Men's Jumping, Team",Silver,Belgium
2012,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver,Belgium
1984,Rowing,Rowing Men's Double Sculls,Silver,Belgium
1976,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,Belgium
1924,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,Belgium
1912,Equestrianism,"Equestrianism Men's Jumping, Individual",Bronze,Belgium
1920,Cycling,"Cycling Men's Road Race, Team",Bronze,Belgium
1924,Swimming,Swimming Men's 200 metres Breaststroke,Silver,Belgium
1920,Art Competitions,Art Competitions Mixed Sculpturing,Bronze,Belgium
1920,Weightlifting,Weightlifting Men's Featherweight,Gold,Belgium
1920,Sailing,Sailing Mixed 8 metres,Bronze,Belgium
1948,Cycling,"Cycling Men's Road Race, Team",Gold,Belgium
1908,Rowing,Rowing Men's Coxed Eights,Silver,Belgium
2000,Cycling,Cycling Men's Madison,Silver,Belgium
1906,Cycling,Cycling Men's Sprint,Bronze,Belgium
1996,Swimming,Swimming Men's 100 metres Breaststroke,Gold,Belgium
1924,Boxing,Boxing Men's Welterweight,Gold,Belgium
1900,Football,Football Men's Football,Bronze,Belgium
1924,Fencing,"Fencing Men's epee, Individual",Gold,Belgium
2016,Cycling,Cycling Women's Omnium,Bronze,Belgium
1900,Archery,Archery Men's Sur La Perche a La Herse,Silver,Belgium
1906,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,Belgium
1936,Art Competitions,"Art Competitions Mixed Sculpturing, Medals",Bronze,Belgium
1906,Athletics,Athletics Men's Standing High Jump,Silver,Belgium
1908,Shooting,"Shooting Men's Free Pistol, 50 yards, Team",Silver,Belgium
1920,Equestrianism,"Equestrianism Men's Vaulting, Individual",Bronze,Belgium
1920,Archery,"Archery Men's Pole Archery, Large Birds, Individual",Bronze,Belgium
1900,Archery,Archery Men's Sur La Perche a La Herse,Gold,Belgium
1948,Athletics,Athletics Men's Marathon,Bronze,Belgium
1936,Cycling,"Cycling Men's Road Race, Team",Bronze,Belgium
1920,Cycling,Cycling Men's 50 kilometres,Gold,Belgium
1900,Archery,Archery Men's Sur La Perche a La Pyramide,Bronze,Belgium
1996,Sailing,Sailing Men's One Person Dinghy,Silver,Belgium
1964,Cycling,"Cycling Men's Road Race, Individual",Bronze,Belgium
1968,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze,Belgium
1920,Art Competitions,Art Competitions Mixed Sculpturing,Silver,Belgium
1952,Cycling,"Cycling Men's Road Race, Individual",Silver,Belgium
1952,Cycling,"Cycling Men's Road Race, Team",Gold,Belgium
1900,Shooting,Shooting Men's Trap,Silver,Belgium
1900,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold,Belgium
1984,Rowing,Rowing Women's Single Sculls,Bronze,Belgium
2008,Athletics,Athletics Women's High Jump,Gold,Belgium
2004,Tennis,Tennis Women's Singles,Gold,Belgium
1920,Archery,"Archery Men's Pole Archery, Small Birds, Individual",Bronze,Belgium
2004,Judo,Judo Women's Half-Lightweight,Bronze,Belgium
1924,Cycling,"Cycling Men's Road Race, Individual",Silver,Belgium
1924,Cycling,"Cycling Men's Road Race, Team",Silver,Belgium
1908,Sailing,Sailing Mixed 6 metres,Silver,Belgium
1920,Sailing,Sailing Mixed 6 metres,Silver,Belgium
1924,Sailing,Sailing Mixed One Person Dinghy,Gold,Belgium
1984,Cycling,Cycling Men's Points Race,Gold,Belgium
1912,Fencing,"Fencing Men's epee, Individual",Bronze,Belgium
1984,Swimming,Swimming Women's 200 metres Breaststroke,Bronze,Belgium
1972,Athletics,Athletics Men's Marathon,Silver,Belgium
1976,Athletics,Athletics Men's Marathon,Bronze,Belgium
1996,Judo,Judo Women's Lightweight,Bronze,Belgium
1992,Cycling,Cycling Men's Points Race,Bronze,Belgium
1976,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze,Belgium
2000,Cycling,"Cycling Men's Mountainbike, Cross-Country",Silver,Belgium
2004,Cycling,"Cycling Men's Road Race, Individual",Bronze,Belgium
1956,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,Belgium
1960,Athletics,Athletics Men's 800 metres,Silver,Belgium
1920,Art Competitions,Art Competitions Mixed Music,Gold,Belgium
1900,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,Gold,Belgium
1956,Sailing,Sailing Mixed One Person Dinghy,Silver,Belgium
1960,Sailing,Sailing Mixed One Person Dinghy,Bronze,Belgium
1948,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver,Belgium
1952,Cycling,"Cycling Men's Road Race, Individual",Gold,Belgium
1924,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver,Belgium
1906,Rowing,Rowing Men's Coxed Pairs (1 mile),Silver,Belgium
1920,Art Competitions,Art Competitions Mixed Painting,Bronze,Belgium
1900,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres",Bronze,Belgium
1988,Shooting,Shooting Mixed Trap,Bronze,Belgium
1972,Athletics,"Athletics Men's 10,000 metres",Silver,Belgium
1992,Judo,Judo Women's Middleweight,Bronze,Belgium
1968,Weightlifting,Weightlifting Men's Heavyweight,Silver,Belgium
1948,Athletics,"Athletics Men's 5,000 metres",Gold,Belgium
1964,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold,Belgium
1920,Weightlifting,Weightlifting Men's Lightweight,Bronze,Belgium
1964,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold,Belgium
2000,Judo,Judo Women's Extra-Lightweight,Bronze,Belgium
1928,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver,Belgium
1960,Cycling,Cycling Men's Sprint,Silver,Belgium
1928,Boxing,Boxing Men's Middleweight,Bronze,Belgium
1908,Shooting,"Shooting Men's Free Pistol, 50 yards",Silver,Belgium
2016,Athletics,Athletics Women's Heptathlon,Gold,Belgium
2016,Swimming,Swimming Men's 100 metres Freestyle,Silver,Belgium
1976,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver,Belgium
2012,Sailing,Sailing Women's One Person Dinghy,Bronze,Belgium
1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Bronze,Belgium
1908,Shooting,"Shooting Men's Free Pistol, 50 yards",Gold,Belgium
2016,Cycling,"Cycling Men's Road Race, Individual",Gold,Belgium
1996,Judo,Judo Men's Heavyweight,Bronze,Belgium
1976,Athletics,Athletics Men's 800 metres,Silver,Belgium
1976,Athletics,"Athletics Men's 1,500 metres",Silver,Belgium
1924,Fencing,"Fencing Men's Foil, Individual",Bronze,Belgium
1920,Archery,"Archery Men's Pole Archery, Small Birds, Individual",Silver,Belgium
1920,Archery,"Archery Men's Pole Archery, Large Birds, Individual",Silver,Belgium
1980,Judo,Judo Men's Half-Heavyweight,Gold,Belgium
1988,Judo,Judo Men's Half-Heavyweight,Bronze,Belgium
1900,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver,Belgium
1900,Equestrianism,Equestrianism Mixed High Jump,Bronze,Belgium
1900,Archery,"Archery Men's Au Chapelet, 33 metres",Gold,Belgium
1900,Archery,"Archery Men's Au Cordon Dore, 33 metres",Gold,Belgium
1900,Archery,"Archery Men's Au Cordon Dore, 50 metres",Silver,Belgium
1900,Archery,Archery Men's Championnat Du Monde,Silver,Belgium
1920,Archery,"Archery Men's Target Archery, 28 metres, Individual",Gold,Belgium
1920,Archery,"Archery Men's Target Archery, 33 metres, Individual",Gold,Belgium
1920,Archery,"Archery Men's Target Archery, 50 metres, Individual",Silver,Belgium
1900,Equestrianism,Equestrianism Mixed Long Jump,Gold,Belgium
1920,Archery,"Archery Men's Pole Archery, Small Birds, Individual",Gold,Belgium
2012,Judo,Judo Women's Extra-Lightweight,Bronze,Belgium
2016,Judo,Judo Men's Lightweight,Bronze,Belgium
1996,Judo,Judo Women's Half-Middleweight,Silver,Belgium
2000,Judo,Judo Women's Half-Middleweight,Bronze,Belgium
1960,Cycling,"Cycling Men's Road Race, Individual",Bronze,Belgium
1912,Rowing,Rowing Men's Single Sculls,Silver,Belgium
1932,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Bronze,Belgium
1906,Fencing,"Fencing Men's epee, Masters, Individual",Gold,Belgium
1906,Fencing,"Fencing Men's Sabre, Masters, Individual",Gold,Belgium
1948,Boxing,Boxing Men's Lightweight,Silver,Belgium
1908,Cycling,Cycling Men's 20 kilometres,Bronze,Belgium
1996,Judo,Judo Women's Half-Heavyweight,Gold,Belgium
1920,Weightlifting,Weightlifting Men's Lightweight,Silver,Belgium
1948,Cycling,"Cycling Men's Road Race, Individual",Bronze,Belgium
1976,Boxing,Boxing Men's Heavyweight,Bronze,Bermuda
2008,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,Belarus
2000,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver,Belarus
2004,Boxing,Boxing Men's Light-Heavyweight,Silver,Belarus
2008,Weightlifting,Weightlifting Men's Heavyweight,Gold,Belarus
2000,Athletics,Athletics Men's Hammer Throw,Bronze,Belarus
2012,Tennis,Tennis Women's Singles,Bronze,Belarus
2012,Tennis,Tennis Mixed Doubles,Gold,Belarus
2008,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze,Belarus
1996,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver,Belarus
2000,Shooting,"Shooting Men's Air Pistol, 10 metres",Bronze,Belarus
2000,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver,Belarus
2004,Weightlifting,Weightlifting Women's Middleweight,Silver,Belarus
2004,Rowing,Rowing Women's Coxless Pairs,Bronze,Belarus
2008,Rowing,Rowing Women's Coxless Pairs,Bronze,Belarus
2008,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold,Belarus
2012,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver,Belarus
2012,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Bronze,Belarus
1996,Rowing,Rowing Women's Coxed Eights,Bronze,Belarus
2000,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze,Belarus
2008,Athletics,Athletics Men's Hammer Throw,Silver,Belarus
2000,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze,Belarus
1996,Athletics,Athletics Men's Discus Throw,Silver,Belarus
2016,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze,Belarus
2008,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze,Belarus
2012,Swimming,Swimming Women's 50 metres Freestyle,Silver,Belarus
2012,Swimming,Swimming Women's 100 metres Freestyle,Silver,Belarus
2016,Swimming,Swimming Women's 50 metres Freestyle,Bronze,Belarus
2016,Trampolining,Trampolining Men's Individual,Gold,Belarus
2012,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver,Belarus
1996,Athletics,Athletics Men's Discus Throw,Bronze,Belarus
1996,Rowing,Rowing Women's Single Sculls,Gold,Belarus
2000,Rowing,Rowing Women's Single Sculls,Gold,Belarus
2004,Rowing,Rowing Women's Single Sculls,Silver,Belarus
2008,Rowing,Rowing Women's Single Sculls,Bronze,Belarus
2008,Athletics,Athletics Women's Shot Put,Silver,Belarus
2012,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,Belarus
2016,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,Belarus
2008,Athletics,Athletics Men's Decathlon,Silver,Belarus
2012,Weightlifting,Weightlifting Women's Heavyweight,Bronze,Belarus
2000,Judo,Judo Men's Lightweight,Bronze,Belarus
2000,Weightlifting,Weightlifting Men's Lightweight,Bronze,Belarus
1996,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver,Belarus
2004,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze,Belarus
2004,Judo,Judo Men's Half-Heavyweight,Gold,Belarus
2004,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze,Belarus
2008,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze,Belarus
2012,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Silver,Belarus
2016,Wrestling,"Wrestling Women's Middleweight, Freestyle",Silver,Belarus
2000,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze,Belarus
2004,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze,Belarus
2012,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,Belarus
1996,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver,Belarus
2008,Athletics,Athletics Women's Hammer Throw,Gold,Belarus
2000,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze,Belarus
2016,Weightlifting,Weightlifting Women's Heavyweight,Silver,Belarus
2004,Athletics,Athletics Women's 100 metres,Gold,Belarus
2008,Weightlifting,Weightlifting Women's Featherweight,Bronze,Belarus
2000,Weightlifting,Weightlifting Men's Featherweight,Bronze,Belarus
2008,Athletics,Athletics Women's Shot Put,Bronze,Belarus
1996,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver,Belarus
2000,Athletics,Athletics Women's Shot Put,Gold,Belarus
2000,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver,Belarus
2004,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver,Belarus
2008,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver,Belarus
2016,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze,Belarus
1996,Athletics,Athletics Women's Heptathlon,Silver,Belarus
2000,Athletics,Athletics Women's Heptathlon,Bronze,Belarus
2008,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze,Belarus
1996,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,Belarus
1996,Gymnastics,Gymnastics Men's Horse Vault,Bronze,Belarus
1996,Gymnastics,Gymnastics Men's Parallel Bars,Bronze,Belarus
1996,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze,Belarus
2012,Weightlifting,Weightlifting Women's Light-Heavyweight,Bronze,Belarus
2016,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,Belarus
2004,Weightlifting,Weightlifting Women's Middleweight,Bronze,Belarus
2008,Athletics,Athletics Men's Hammer Throw,Bronze,Belarus
2016,Athletics,Athletics Men's Hammer Throw,Silver,Belarus
1996,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,Belarus
2004,Cycling,Cycling Women's 500 metres Time Trial,Bronze,Belarus
2000,Athletics,Athletics Women's Discus Throw,Bronze,Belarus
2008,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver,Belarus
2004,Boxing,Boxing Men's Heavyweight,Silver,Belarus
1996,Athletics,Athletics Women's Discus Throw,Bronze,Belarus
2000,Athletics,Athletics Women's Discus Throw,Gold,Belarus
1908,Fencing,"Fencing Men's Sabre, Individual",Bronze,Czech Republic
1908,Fencing,"Fencing Men's Sabre, Team",Bronze,Czech Republic
1900,Athletics,Athletics Men's Discus Throw,Silver,Czech Republic
1900,Tennis,Tennis Women's Singles,Bronze,Czech Republic
1900,Tennis,Tennis Mixed Doubles,Bronze,Czech Republic
1906,Tennis,Tennis Men's Doubles,Bronze,Czech Republic
1906,Tennis,Tennis Men's Singles,Bronze,Czech Republic
2012,Athletics,Athletics Men's 800 metres,Silver,Botswana
1984,Football,Football Men's Football,Silver,Brazil
1988,Football,Football Men's Football,Silver,Brazil
2012,Volleyball,Volleyball Women's Volleyball,Gold,Brazil
1984,Sailing,Sailing Mixed Three Person Keelboat,Silver,Brazil
1996,Basketball,Basketball Women's Basketball,Silver,Brazil
2000,Basketball,Basketball Women's Basketball,Bronze,Brazil
1996,Football,Football Men's Football,Bronze,Brazil
2012,Football,Football Men's Football,Silver,Brazil
2008,Football,Football Men's Football,Bronze,Brazil
1948,Basketball,Basketball Men's Basketball,Bronze,Brazil
1960,Basketball,Basketball Men's Basketball,Bronze,Brazil
2004,Football,Football Women's Football,Silver,Brazil
2012,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver,Brazil
2016,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold,Brazil
2012,Volleyball,Volleyball Men's Volleyball,Silver,Brazil
1984,Volleyball,Volleyball Men's Volleyball,Silver,Brazil
1992,Volleyball,Volleyball Men's Volleyball,Gold,Brazil
1964,Basketball,Basketball Men's Basketball,Bronze,Brazil
1996,Volleyball,Volleyball Women's Volleyball,Bronze,Brazil
2004,Volleyball,Volleyball Men's Volleyball,Gold,Brazil
2008,Volleyball,Volleyball Men's Volleyball,Silver,Brazil
2008,Football,Football Women's Football,Silver,Brazil
2012,Boxing,Boxing Women's Lightweight,Bronze,Brazil
2016,Volleyball,Volleyball Men's Volleyball,Gold,Brazil
2016,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver,Brazil
1920,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Bronze,Brazil
2000,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver,Brazil
2004,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver,Brazil
1980,Sailing,Sailing Mixed Multihull,Gold,Brazil
1992,Swimming,Swimming Men's 100 metres Freestyle,Silver,Brazil
1996,Swimming,Swimming Men's 100 metres Freestyle,Bronze,Brazil
1996,Swimming,Swimming Men's 200 metres Freestyle,Silver,Brazil
2000,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Brazil
2016,Athletics,Athletics Men's Pole Vault,Gold,Brazil
2000,Judo,Judo Men's Lightweight,Silver,Brazil
2008,Judo,Judo Men's Half-Middleweight,Bronze,Brazil
2004,Judo,Judo Men's Half-Middleweight,Bronze,Brazil
1992,Judo,Judo Men's Half-Lightweight,Gold,Brazil
1984,Judo,Judo Men's Middleweight,Bronze,Brazil
2008,Volleyball,Volleyball Women's Volleyball,Gold,Brazil
2008,Swimming,Swimming Men's 50 metres Freestyle,Gold,Brazil
2008,Swimming,Swimming Men's 100 metres Freestyle,Bronze,Brazil
2012,Swimming,Swimming Men's 50 metres Freestyle,Bronze,Brazil
2016,Boxing,Boxing Men's Lightweight,Gold,Brazil
1968,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze,Brazil
1976,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze,Brazil
1984,Athletics,Athletics Men's 800 metres,Gold,Brazil
1988,Athletics,Athletics Men's 800 metres,Silver,Brazil
1952,Athletics,Athletics Men's High Jump,Bronze,Brazil
1920,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver,Brazil
1952,Athletics,Athletics Men's Triple Jump,Gold,Brazil
1956,Athletics,Athletics Men's Triple Jump,Gold,Brazil
1996,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,Brazil
2000,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,Brazil
2012,Judo,Judo Women's Half-Heavyweight,Bronze,Brazil
2016,Judo,Judo Women's Half-Heavyweight,Bronze,Brazil
2012,Judo,Judo Men's Heavyweight,Bronze,Brazil
2016,Judo,Judo Men's Heavyweight,Bronze,Brazil
1988,Athletics,Athletics Men's 200 metres,Bronze,Brazil
1996,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,Brazil
2000,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,Brazil
2008,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,Brazil
2004,Athletics,Athletics Men's Marathon,Bronze,Brazil
1976,Athletics,Athletics Men's Triple Jump,Bronze,Brazil
1980,Athletics,Athletics Men's Triple Jump,Bronze,Brazil
1968,Boxing,Boxing Men's Flyweight,Bronze,Brazil
1980,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,Brazil
1960,Swimming,Swimming Men's 100 metres Freestyle,Bronze,Brazil
2016,Football,Football Men's Football,Gold,Brazil
2000,Volleyball,Volleyball Women's Volleyball,Bronze,Brazil
2004,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold,Brazil
2008,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze,Brazil
2008,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver,Brazil
2008,Taekwondo,Taekwondo Women's Heavyweight,Bronze,Brazil
1988,Sailing,Sailing Mixed Two Person Keelboat,Bronze,Brazil
2012,Boxing,Boxing Men's Light-Heavyweight,Bronze,Brazil
1996,Sailing,Sailing Mixed Two Person Keelboat,Gold,Brazil
2000,Sailing,Sailing Mixed Two Person Keelboat,Bronze,Brazil
2004,Sailing,Sailing Men's Two Person Keelboat,Gold,Brazil
2012,Boxing,Boxing Men's Middleweight,Silver,Brazil
1988,Sailing,Sailing Mixed Multihull,Bronze,Brazil
1996,Sailing,Sailing Mixed Multihull,Bronze,Brazil
2016,Sailing,Sailing Women's Skiff,Gold,Brazil
2004,Judo,Judo Men's Lightweight,Bronze,Brazil
2008,Judo,Judo Men's Lightweight,Bronze,Brazil
1996,Judo,Judo Men's Half-Lightweight,Bronze,Brazil
2000,Judo,Judo Men's Middleweight,Silver,Brazil
2016,Gymnastics,Gymnastics Men's Floor Exercise,Silver,Brazil
1972,Judo,Judo Men's Half-Heavyweight,Bronze,Brazil
2012,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze,Brazil
2012,Judo,Judo Men's Extra-Lightweight,Bronze,Brazil
2008,Athletics,Athletics Women's Long Jump,Gold,Brazil
2016,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,Brazil
2012,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze,Brazil
2012,Judo,Judo Women's Extra-Lightweight,Gold,Brazil
1988,Judo,Judo Men's Half-Heavyweight,Gold,Brazil
1996,Judo,Judo Men's Half-Heavyweight,Bronze,Brazil
1952,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Brazil
2016,Swimming,Swimming Women's 10 kilometres Open Water,Bronze,Brazil
2008,Sailing,Sailing Women's Two Person Dinghy,Bronze,Brazil
1984,Judo,Judo Men's Lightweight,Bronze,Brazil
1920,Shooting,"Shooting Men's Military Pistol, 30 metres",Gold,Brazil
1980,Sailing,Sailing Mixed Two Person Dinghy,Gold,Brazil
2012,Swimming,Swimming Men's 400 metres Individual Medley,Silver,Brazil
2004,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold,Brazil
2008,Sailing,Sailing Men's Two Person Keelboat,Silver,Brazil
2012,Sailing,Sailing Men's Two Person Keelboat,Bronze,Brazil
1984,Swimming,Swimming Men's 400 metres Individual Medley,Silver,Brazil
1968,Athletics,Athletics Men's Triple Jump,Silver,Brazil
1972,Athletics,Athletics Men's Triple Jump,Bronze,Brazil
2008,Judo,Judo Women's Lightweight,Bronze,Brazil
2016,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",Bronze,Brazil
2016,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver,Brazil
2016,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver,Brazil
2000,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver,Brazil
1996,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver,Brazil
2000,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze,Brazil
1996,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold,Brazil
1996,Sailing,Sailing Mixed One Person Dinghy,Gold,Brazil
2000,Sailing,Sailing Mixed One Person Dinghy,Silver,Brazil
2004,Sailing,Sailing Mixed One Person Dinghy,Gold,Brazil
1996,Swimming,Swimming Men's 50 metres Freestyle,Bronze,Brazil
2016,Judo,Judo Women's Lightweight,Gold,Brazil
2016,Taekwondo,Taekwondo Men's Heavyweight,Bronze,Brazil
1984,Judo,Judo Men's Half-Heavyweight,Silver,Brazil
2016,Shooting,"Shooting Men's Air Pistol, 10 metres",Silver,Brazil
2012,Gymnastics,Gymnastics Men's Rings,Gold,Brazil
2016,Gymnastics,Gymnastics Men's Rings,Silver,Brazil
2012,Athletics,"Athletics Women's 1,500 metres",Bronze,Bahrain
2016,Athletics,"Athletics Women's 3,000 metres Steeplechase",Gold,Bahrain
2016,Athletics,Athletics Women's Marathon,Silver,Bahrain
1980,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,Bulgaria
1964,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,Bulgaria
1980,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,Bulgaria
1980,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze,Bulgaria
1972,Boxing,Boxing Men's Light-Welterweight,Silver,Bulgaria
1972,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze,Bulgaria
1976,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze,Bulgaria
1980,Volleyball,Volleyball Men's Volleyball,Silver,Bulgaria
1972,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver,Bulgaria
1980,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze,Bulgaria
1988,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver,Bulgaria
2000,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver,Bulgaria
1988,Rowing,Rowing Women's Coxless Pairs,Silver,Bulgaria
1972,Weightlifting,Weightlifting Men's Middleweight,Gold,Bulgaria
1960,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,Bulgaria
1980,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver,Bulgaria
1972,Athletics,Athletics Women's High Jump,Silver,Bulgaria
1976,Athletics,Athletics Women's High Jump,Bronze,Bulgaria
2000,Weightlifting,Weightlifting Men's Lightweight,Gold,Bulgaria
1976,Basketball,Basketball Women's Basketball,Bronze,Bulgaria
1980,Basketball,Basketball Women's Basketball,Silver,Bulgaria
1988,Swimming,Swimming Women's 100 metres Breaststroke,Gold,Bulgaria
1980,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,Bulgaria
1980,Volleyball,Volleyball Women's Volleyball,Bronze,Bulgaria
1992,Boxing,Boxing Men's Light-Flyweight,Silver,Bulgaria
1996,Boxing,Boxing Men's Light-Flyweight,Gold,Bulgaria
1956,Football,Football Men's Football,Bronze,Bulgaria
1988,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze,Bulgaria
1992,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold,Bulgaria
1992,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold,Bulgaria
1972,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze,Bulgaria
1980,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,Bulgaria
2004,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze,Bulgaria
1980,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,Bulgaria
1980,Gymnastics,Gymnastics Men's Horizontal Bar,Gold,Bulgaria
1996,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver,Bulgaria
2016,Athletics,Athletics Women's High Jump,Silver,Bulgaria
1980,Weightlifting,Weightlifting Men's Featherweight,Silver,Bulgaria
1968,Football,Football Men's Football,Silver,Bulgaria
1980,Rowing,Rowing Men's Quadruple Sculls,Bronze,Bulgaria
1956,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver,Bulgaria
